ID;Tag;Kategória;Štúdium;Autor;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1;Odpoveď 2;Odpoveď 3
403;;Dekanát;;AP;Kto je dekan?;Aké je meno dekana fakulty?;;;;doc. Ing. Emil Kršák, PhD;;
404;;Dekanát;;AP;Kto je prodekan pre vzdelávanie?;Ako sa volá prodekan pre vzdelávanie?;;;;doc. Ing. Viliam Lendel, PhD;;
405;;Dekanát;;AP;Kto je prodekan pre vedu a výskum?;;;;;doc. Ing. Michal Koháni, PhD;;
406;;Dekanát;;AP;Kto je prodekan pre zahraničné vzťahy?;;;;;doc. Ing. Peter Márton, PhD;;
167;;Erazmus;;JO;Ako je možné zapojiť sa do programu Erasmus? ;Ako sa viem zapojiť do programu Erasmus?;;;;;;
168;;Erazmus;;JO;Je možné sa na FRI zapojiť do programu Erasmus? ;;;;;Áno, bližšie informácie je možné nájsť na linku: https://www.fri.uniza.sk/stranka/aktualne-informacie-erasmus;;
191;;Erazmus;;JK, AP;Koho mám kontaktovať ak chcem vycestovať v rámci študentského programu erazmus?;Kto mi pomôže s ERAZMUS+?;;;;doc. Ing. Peter Márton, PhD;;
287;;Erazmus;;JK, AP;Aké možnosti Erasmu ponúka FRI?;Aké sú možnosti ERAZMU?;;;;FRI ponúka možnosť íst viac krát na erasmus ale celková doba na erasme nemôže presiahnúť 1 rok. ;Študenti môžu ísť aj počast zimného aj letného semestra na erasmus.;
144;;Internát;;JO;Kde sa nachádzajú internáty?;Kde sú internáty?;Kde sú intráky?;;;Adresa pre internát velký diel: Žilinská univerzita, Ubytovacie Zariadenie Veľký Diel Vysokoškolákov 20 010 08 Žilina. Adresa pre internát hliny: ulica, Hlinská, 010 01 Žilina.;Adresy môžete nájsť na linku: https://www.iklub.sk/?q=ubytko;
77;;ISIC;;JO;Kde dostanem preukaz študenta?;Kde dostanem ISIC?;;;;Preukaz si môžete vyzdvihnúť na rektoráte.;;
78;;ISIC;;JO;Kedy dostanem preukaz študenta?;Kedy dostanem ISIC?;;;;Od septembra je potrebné si zaplatiť za ISIC a následne si ho budete môcť vyzdvihnúť;;
79;;ISIC;;JO, AP;Aký vysoký je poplatok za preukaz študenta?;Koľko stojí ISIC?;;;;Cena záleží od požiadaviek študenta.;;
126;;ISIC;;JO;Je možné používať kartu ISIC aj v MHD?;;;;;Áno.;Do veku 26 je možné využívať ISIC v MHD.;
127;;ISIC;;JO;Je možné používať kartu ISIC v SAD?;;;;;Áno.;Do veku 26 je možné využívať ISIC v SAD.;
128;;ISIC;;JO;Je možné používať kartu ISIC vo vlaku?;;;;;Áno.;Do veku 26 je možné využívať ISIC vo vlaku.;
158;;ISIC;;JO, JK;Kde je možné znovu aktivovať preukaz ISIC?;Kde si môžem aktivovať ISIC kartu?;;;;Na stránke e-many a následne na rektoráte.;;
159;;ISIC;;JO;Je možné znovu aktivovať preukat ISIC?;;;;;Áno.;;
179;;ISIC;;JK;Kde si môžem predĺžiť ISIC kartu? ;Kde viem predĺžiť ISIC?;;;;Na stránke e-many a následne na rektoráte.;;
306;;ISIC;;JK;Pomýlil som sa pri vypisovaní ISIC údajov, je možné ich zmeniť?;Viem zmeniť údaje, ktoré som zadal do ISIC? ;;;;Áno. ;;
307;;ISIC;;JK;Je možné chodiť na fri aj bez ISIC karty?;;;;;Nepravdepodobne.;Nie.;
308;;ISIC;;JK;Ak nemám predĺženú ISIC kartu, je možné chodiť do školy?;;;;;;;
399;;ISIC;;AP;Kde si vybavím ISIC?;;;;;;;
400;;ISIC;;AP;Do kedy je možné predĺžiť si ISIC?;;;;;;;
59;;Katedra;BID;JO;Aké katedry sa nachádzajú na FRI?;Aké ma FRI katedry?;;;;;;
60;;Katedra;BID;JO;Kde nájdem katedru informatiky?;Kde je KI?;;;;;;
61;;Katedra;BID;JO;Kde nájdem katedru informačných sietí?;Kde je KIS?;;;;;;
62;;Katedra;BID;JO;Kde nájdem katedru makro a mikroekonomiky?;Kde je KMME?;;;;;;
63;;Katedra;BID;JO;Kde nájdem katedru matematických metód a operačnej analýze?;Kde je frdsa?;;;;;;
64;;Katedra;BID;JO;Kde nájdem katedru manažerských teórií?;;;;;;;
65;;Katedra;BID;JO;Kde nájdem katedru softvérových technológií;;;;;;;
66;;Katedra;BID;JO;Kde nájdem katedru technickej kybernetiky?;;;;;;;
1;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na opakovanie prvého ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v prvom ročníku na bakalarskom štúdiu?;;;;;;
2;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na opakovanie druhého ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v druhom ročníku  na bakalarskom štúdiu?;;;;;;
3;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na opakovanie tretieho ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v treťom ročníku  na bakalarskom štúdiu?;;;;;;
4;;Kredity;B;JO, AP;Koľko kreditov potrebujem pri študijnom programe Informatika z povinne voliteľných predmetov?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe informatika?;;;;;;
5;;Kredity;B;JO, AP;Koľko kreditov potrebujem pri študijnom programe Manažment z povinne voliteľných predmetov?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe manažment?;;;;;;
6;;Kredity;B, I;JO, AP;Koľko kreditov potrebujem pri študijnom programe Počítačové inžinierstvo z povinne voliteľných predmetov?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe počítačové inžinierstvo?;;;;;;
7;;Kredity;B;JO;Aký je odporúčaný počet kreditov na opakovanie prvého ročníka bakalárskeho štúdia?;;;;;;;
8;;Kredity;B;JO;Aký je odporúčaný počet kreditov na opakovanie druhého ročníka bakalárskeho štúdia?;;;;;;;
9;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na uzavretie bakalárskeho štúdia?;Koľko kreditov potrebujem na ukončenie bakalárskeho štúdia?;;;;;;
185;;Kredity;;JK;Koľko kreditov potrebujem pre opätovné zapísanie do toho istého ročníka?;;;;;;;
186;;Kredity;;JK;Koľko kreditov potrebujem pre zapísanie do vyššieho ročníka?;;;;;;;
187;;Kredity;;JK;Koľko kreditov potrebujem pre uzatvorenie štúdia?;;;;;;;
208;;Kredity;;JK, AP;Koľko kreditov potrebujem z povinne voliteľných predmetov?;;;;;;;
209;;Kredity;;JK;Sú nutné kredity aj z volitelných predmetov?;;;;;;;
371;;Kredity;;AP;Koľko kreditov potrebujem na zápis do vyššieho ročníka v prvom ročníku na bakalarskom štúdiu?;;;;;;;
372;;Kredity;;AP;Koľko kreditov potrebujem na zápis do vyššieho ročníka v druhom ročníku  na bakalarskom štúdiu?;;;;;;;
373;;Kredity;;AP;Koľko kreditov potrebujem na zápis do vyššieho ročníka v prvom ročníku na inžinierskom štúdiu?;;;;;;;
374;;Kredity;;AP;Koľko kreditov potrebujem na zápis do rovnakého ročníka v prvom ročníku na inžinierskom štúdiu?;;;;;;;
375;;Kredity;;AP;Koľko kreditov potrebujem na zápis do rovnakého ročníka v druhom ročníku na inžinierskom štúdiu?;;;;;;;
376;;Kredity;;AP;Koľko kreditov potrebujem na ukončenie inžinierského štúdia?;;;;;;;
377;;Kredity;I;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe informačné systémy?;;;;;;;
378;;Kredity;I;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe informačný manažment?;;;;;;;
379;;Kredity;I, D;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe inteligentné informačné systémy?;;;;;;;
380;;Kredity;I;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe aplikované sieťové inžinierstvo?;;;;;;;
381;;Kredity;D;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe aplikovaná informatika?;;;;;;;
382;;Kredity;D;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe manažment?;;;;;;;
80;;Miestnosť;;JO, JK;Kde nájdem študíjny referát?;Kde sa nachádza štúdijný referát?;;;;;;
96;;Miestnosť;;JO, AP;Aké číslo dverí má ...;Kde nájdem učiteľa...;Kde nájdem profesora...;;;;;
104;;Miestnosť;;JO;Ako je možné zarezervovať si miestnosť?;Ako si viem rezervovať miestnosť?;;;;;;
105;;Miestnosť;;JO;Kde nájdem rezerváciu miestností?;;;;;;;
190;;Miestnosť;;JK;Chcem ísť za pánom prodekanom. V ktorej miestnosti by som ho vedel nájsť? ;Kde nájdem pána prodekana?;;;;;;
204;;Miestnosť;;JK;Kde sa nachádza chill zóna na FRI?;Kde je chill zóna?;;;;;;
424;;Miestnosť;;AP;Kde sa nachádza miestnosť ...;;;;;;;
43;;O škole;BID;JO, AP;V aký rok vznikla FRI?;Kedy vznikla FRI?;;;;;;
44;;O škole;BID;JO, AP;V aký rok vznikla UNIZA?;Kedy vznikla UNIZA?;;;;;;
92;;O škole;;JO;Aká je webová stránka UNIZA?;;;;;;;
93;;O škole;;JO;Aká je webová stránka FRI?;;;;;;;
95;;O škole;;JO;Aké je telefonné číslo na vrátnicu?;;;;;;;
112;;O škole;;JK, JO;Viem niekde nájsť plány budovy?;Kde nájdem mapu FRI?;;;;;;
113;;O škole;;JO;Kde nájdem mapu UNIZA?;;;;;;;
174;;O škole;;JK;Nachádza sa na FRI bezbariérový prístup?;;;;;;;
246;;O škole;;JK;Má FRI aj vysunuté pracovisko alebo iba v Žiline?;;;;;;;
256;;O škole;;JK;Kde nájdem FRI?;;;;;;;
305;;O škole;;JK;Aká je presná adresa FRI?;;;;;;;
392;;O škole;;AP;Čo znamená skratka FRI?;;;;;;;
173;;Parkovanie;;JK;Je parkovné na FRI prepojené s parkovným na internátoch? ;;;;;;;
310;;Parkovanie;;JK;Rampa na FRI parkovisku ma nechce pustiť, koho mám kontaktovať?;;;;;;;
387;;Parkovanie;;AP;Koľko stojí parkovné?;;;;;;;
69;;Poplatky;;JO;Aká je výška školného pri prekročení dĺžky štúdia na 1 stupni denneho štúdia?;;;;;;;
70;;Poplatky;;JO;Aká je výška školného pri prekročení dĺžky štúdia na 2 stupni denneho štúdia?;;;;;;;
71;;Poplatky;;JO;Aká je výška školného pri prekročení dĺžky štúdia na 3 stupni denneho štúdia?;;;;;;;
72;;Poplatky;;JO;Aká je výška školného pri prekročení dĺžky štúdia na 1 stupni externého štúdia?;;;;;;;
73;;Poplatky;;JO;Aká je výška školného pri prekročení dĺžky štúdia na 2 stupni externého štúdia?;;;;;;;
74;;Poplatky;;JO;Aká je výška školného pri prekročení dĺžky štúdia na 3 stupni externého štúdia?;;;;;;;
75;;Poplatky;;JO;Môžem dostať úľavu od školného?;;;;;;;
76;;Poplatky;;JO, AP;Aké sú podmienky pre úľavu školného?;Ako môžem získať úľavu na školné?;;;;;;
139;;Poplatky;;JO;Aká je výška poplatku za prihlášku?;;;;;;;
140;;Poplatky;;JO;Je za prihlášku na štúdium poplatok?;;;;;;;
141;;Poplatky;;JO;Na aký účet je potrebné odoslať poplatok za prihlášku?;;;;;;;
215;;Poplatky;;JK;Koľko stojí nová prihláška?;;;;;;;
263;;Poplatky;;JK, AP;Koľko stojí predĺženie štandartného štúdia?;Koľko sa platí za medziročník?;;;;;;
280;;Poplatky;;JK;Som opakujúci študent, chcel by som sa informovať o výške školného?;;;;;;;
309;;Poplatky;;JK;Kedy sa zase bude zvyšovať školné?;;;;;;;
385;;Poplatky;;AP;Aký je poplatok za prijímačky?;;;;;;;
386;;Poplatky;;AP;Platia sa nejaké poplatky?;;;;;;;
438;;Poplatky;;AP;Koľko stojí externé štúdium?;;;;;;;
441;;Poplatky;;AP;Koľko stojí internát?;;;;;;;
129;;Prax;;JO, AP;Je možné absolvovať predmet prax na fakulte?;Môžem absolvovať prax aj na fakulte?;;;;;;
130;;Prax;;JO;Koľko je minimálny počet hodín praxe?;;;;;;;
131;;Prax;;JO;Je možné použiť prax ako bakalársku prácu?;;;;;;;
132;;Prax;;JO;Je možné použiť prax ako diplomovú prácu?;;;;;;;
133;;Prax;;JO;Je možné použiť prax ako dizertačnú prácu?;;;;;;;
194;;Prax;;JK, AP;Je možné uznať prax aj z iného odvedvia ako študujem?;Musí byť prax v rámci odboru?;;;;;;
278;;Prax;;JK;Na praxi som odpracoval menej ako 150 hodín, dá sa uznať aj takáto prax ? Prípadne na horšiu známku? ;;;;;;;
341;;Prax;;JK;Je možné absolvovať predmet odborná prax v študentskej organizácií?;;;;;;;
342;;Prax;;JK;Ak je možné absolvovať predmet odborná prax v študentskej organizácií, za akých podmienok je to možné?;;;;;;;
444;;Prax;;AP;Kde odporúčate vykonávať prax?;;;;;;;
53;;Predmet;BID;JO;Čo sú to povinné predmety?;;;;;;;
54;;Predmet;BID;JO;Čo sú to povinne voliteľné predmety?;;;;;;;
55;;Predmet;BID;JO;Čo sú to voliteľné predmety?;;;;;;;
122;;Predmet;;JO;Aká je maximálna dĺžka platnosti známky z predmetu?;;;;;;;
123;;Predmet;;JO;Je možné uznať predmety po prechode z inej fakulty?;;;;;;;
124;;Predmet;;JO;Je možné uznať predmety po prechode z inej Vysokej Školy?;;;;;;;
149;;Predmet;;JO;Kde nájdem predmety programu Informatika?;;;;;;;
150;;Predmet;;JO;Kde nájdem predmety programu Manažment?;;;;;;;
151;;Predmet;;JO;Kde nájdem predmety programu Počítačové Inžinierstvo?;;;;;;;
152;;Predmet;;JO;Kde nájdem predmety programu Biomedicínske inžinierstvo?;;;;;;;
153;;Predmet;;JO;Kde nájdem predmety programu Inteligentné informačné systémy?;;;;;;;
154;;Predmet;;JO;Kde nájdem predmety programu Informačné systémy?;;;;;;;
155;;Predmet;;JO;Kde nájdem predmety programu Informačný manažment?;;;;;;;
156;;Predmet;;JO;Kde nájdem predmety programu Aplikované sieťové inžinierstvo.;;;;;;;
157;;Predmet;;JO;Rátajú sa mi predmety ako povinne voliteľné v prípade, že ich nemám vo svojom odbore?;;;;;;;
172;;Predmet;;JK;Ako dlho od absolvovania predmetu je možné ho uznať?;;;;;;;
189;;Predmet;;JK;Môžem si zapísať predmety aj z iného odboru? napr. Manažmentu. Ak áno budú sa mi aj ich povinne voliteľné rátať u nás na odbore?;;;;;;;
192;;Predmet;;JK;Prichádzam z FIIT, ako mám postupovať pri uznávaní predmetov?;;;;;;;
193;;Predmet;;JK;Chcel by som si počas začatého ročníka prihlásiť predmety, je to možné? ;;;;;;;
195;;Predmet;;JK;Je možné odpísať si predmet na začiatku nového ročníka? prípadne bakalársku prácu.;;;;;;;
203;;Predmet;;JK;V rozvrhu sa mi nezobrazujú predmety, ako mám postupovať?;;;;;;;
277;;Predmet;;JK;Je možné uznať predmety aj po viac ako 3 rokoch od absolvovania skúšky?;;;;;;;
299;;Predmet;;JK;Kde nájdem vypísané predmety po novej akreditácií?;;;;;;;
311;;Predmet;;JK;Na Teamse sa mi zobrazujú predmety, ktoré som už absolvoval, čo s tým mám robiť?;;;;;;;
312;;Predmet;;JK;Na Teamse sa mi nezobrazujú predmety, ktoré mám zapísané, viete mi ich tam dokliknúť?;;;;;;;
313;;Predmet;;JK;Na Teamse sa mi zobrazujú predmety z minulých rokov, viete mi ich odpísať?;;;;;;;
314;;Predmet;;JK;Na Teamse sa mi zobrazujú bakalárske predmety, čo s tým mám robiť?;;;;;;;
388;;Predmet;;AP;Aký výber predmetov mám?;;;;;;;
39;;Prijímačky;;JO, AP, JK;Kedy je príjmacie konanie?;Kedy sú prijímačky?;Kedy budú prebiehať prijímačky na FRI?;;;;;
200;;Prijímačky;;JK;Kde nájdem informácie o prijímacom konaní?;;;;;;;
225;;Prijímačky;;JK;Kde sa môžem prihlásiť na prípravný kurz ku prijímačkám na FRI?;;;;;;;
275;;Prijímačky;;JK;Aké sú podmienky prijatia na bakalárske štúdium bez prijímačiek?;;;;;;;
276;;Prijímačky;;JK;Aké sú podmienky prijatia na inžinierske štúdium programu x bez prijímačiek?;;;;;;;
291;;Prijímačky;;JK;Čo všetko si treba priniesť na prijímačky?;;;;;;;
292;;Prijímačky;;JK, AP;Kde nájdem výsledky prijímačiek?;Kde nájdem výsledky prijímacieho konania?;;;;;;
326;;Prijímačky;;JK;Ako prebieha prijímacie konanie na univerzite?;;;;;;;
343;;Prijímačky;;JK;Aké sú podmienky pre prijatie na doktorantské štúdium?;;;;;;;
359;;Prijímačky;;JK;Ako sa odvolať voči rozhodnutiu o prijatí na štúdium?;;;;;;;
428;;Prijímačky;;AP;Aké sú podmienky prijatia bez prijímačiek?;;;;;;;
430;;Prijímačky;;AP;Aké testy môžem očakávať na prijímačkach?;;;;;;;
98;;Projekt;;JO, JK;Kde môžem nájsť projekty inžinierského štúdia?;Kde nájdem vypísané inžinierske projekty?;;;;;;
99;;Projekt;;JO;Kde môžem nájsť projekty bakalárskeho štúdia?;;;;;;;
100;;Projekt;;JO;Kde môžem nájsť projekty doktorantského štúdia?;;;;;;;
298;;Projekt;;JK;Nebaví ma inžiniersky projekt je možné ho zmeniť?;;;;;;;
422;;Projekt;;AP;Ako si vyberiem projekt na inžinierskom štúdiu?;;;;;;;
23;;Semester;BID;JO, AP;Kedy je začiatok letného semestra?;Kedy začína letný semester?;;;;;;
24;;Semester;BID;JO, AP;Kedy je koniec letného semestra?;Kedy končí letný semester?;;;;;;
25;;Semester;BID;JO, AP;Kedy je začiatok zimného semestra?;Kedy začína zimný semester?;;;;;;
26;;Semester;BID;JO, AP;Kedy je koniec zimného semestra?;Kedy končí zimný semester?;;;;;;
27;;Skúškové obdobie;BID;JO, AP;Kedy je koniec letného skúškového obdobia?;Kedy končí skúškové obdobie letného semestra?;;;;;;
28;;Skúškové obdobie;BID;JO, AP;Kedy je koniec zimného skúškového obdobie?;Kedy končí skúškové obdobie zimného semestra?;;;;;;
258;;Skúškové obdobie;;JK;Kedy končí skúškové obdobie?;;;;;;;
259;;Skúškové obdobie;;JK;Kedy začína skúškové obdobie?;;;;;;;
369;;Skúškové obdobie;;AP;Kedy začína skúškové obdobie letného semestra?;;;;;;;
370;;Skúškové obdobie;;AP;Kedy začína skúškové obdobie zimného semestra?;;;;;;;
391;;Skúškové obdobie;;AP;Kedy je skúškové obdobie?;;;;;;;
145;;Stravovanie;;JO;Kde je možný výdaj obedov?;;;;;;;
146;;Stravovanie;;JO;Je možný výdaj jedla aj na fakulte, na ktorú nechodím?;;;;;;;
147;;Stravovanie;;JO;Je možný výdaj jedla na Novej Menze, aj keď nebývam na internátoch?;;;;;;;
148;;Stravovanie;;JO;Je možný výdaj jedla na Starej Menze, aj keď nebývam na internátoch?;;;;;;;
175;;Stravovanie;;JK;Ako funguje stravovanie v bufete na FRI? ;;;;;;;
176;;Stravovanie;;JK;Treba si jedlo dopredu objednávať v bufete na FRI? ;;;;;;;
383;;Stravovanie;;AP;Ako sa dá stravovať na FRI?;;;;;;;
384;;Stravovanie;;AP;Do ktorej je otvorený bufet?;;;;;;;
442;;Stravovanie;;AP;Koľko stojí jedlo?;;;;;;;
13;;Štátna skúška;B;JO, AP;Z čoho sa skladá štátna skúška bakalárskeho štúdia?;Aké okruhy budú na štátnej skúške bakalárskeho štúdia?;;;;;;
14;;Štátna skúška;I;JO, AP;Z čoho sa skladá štátna skúška inžinierskeho štúdia?;Aké okruhy budú na štátnej skúške inžinierského štúdia?;;;;;;
15;;Štátna skúška;D;JO, AP;Z čoho sa skladá štátna skúška doktorantského štúdia?;Aké okruhy budú na štátnej skúške doktorandského štúdia?;;;;;;
417;;Štátna skúška;;AP;Ako prebieha štatna skúška na bakalárskom štúdiu?;;;;;;;
418;;Štátna skúška;;AP;Ako prebieha štatna skúška na inžinierskom štúdiu?;;;;;;;
16;;Štipendium;BID;JO;V aký dátum je vyplácané odborové štipendium?;;;;;;;
17;;Štipendium;BID;JO;V aký dátum je vyplácané sociálne štipendium?;;;;;;;
68;;Štipendium;BID;JO, AP;Aké formy štipendia je možné získať?;Aké štipendium môžem získať?;;;;Motivačné(odborové, prospechové, mimoriadne),  sociálne, tehotenské;;
162;;Štipendium;;JO;Aké sú podmienky pre získanie odborového štipendia?;;;;;;;
163;;Štipendium;;JO;Aké sú podmienky pre získanie sociálneho štipendia?;;;;;;;
164;;Štipendium;;JO;Aké sú podmienky pre získanie prospechového štipendia?;;;;;;;
165;;Štipendium;;JO;Aké sú podmienky pre získanie tehotenského štipendia?;;;;;;;
226;;Štipendium;;JK;Ako môžem získať prospechové štipendium?;;;;;;;
227;;Štipendium;;JK;Ako môžem získať sociálne štipendium?;;;;;;;
228;;Štipendium;;JK;Ako môžem získať odborové štipendium?;;;;;;;
229;;Štipendium;;JK;Ako môžem získať fakultné štipendium?;;;;;;;
333;;Štipendium;;JK;Akým spôsobom študent môže získať výnimočné štipendium?;;;;;;;
334;;Štipendium;;JK;Aká je maximálna možná suma výnimočného štipendia?;;;;;;;
335;;Štipendium;;JK;Aká je maximálna možná suma prospechové štipendia?;;;;;;;
336;;Štipendium;;JK;Aká je maximálna možná suma sociálne štipendia?;;;;;;;
337;;Štipendium;;JK;Aká je maximálna možná suma fakultné štipendia?;;;;;;;
338;;Štipendium;;JK;Aká je maximálna možná suma odborové štipendia?;;;;;;;
339;;Štipendium;;JK;Aká je maximálna možná suma tehotenského štipendia?;;;;;"Výška tehotenského štipendia je 200 eur mesačne. Vláda môže ustanoviť nariadením inú
výšku tehotenského štipendia. ";;
340;;Štipendium;;JK;Ako môžem získať tehotenské štipendium?;;;;;https://www.uniza.sk/images/pdf/stipendia/tehotenske/30032021_Postup-pri-podani-ziadosti-o-tehotenske-stipendium.pdf;;
393;;Štipendium;;AP;Aké sú podmienky získania štipendia?;;;;;;;
10;;Študijné programy;I;JO;Aké sú inžinierské študíjne programy?;;;;;"Informačné systémy, Inteligentné informačné systémy, Biomedicínska informatika, Aplikované sieťové inžinierstvo, Informačný manažment, Počítačové inžinierstvo
Viac info tu:  https://www.fri.uniza.sk/stranka/ponukane-inzinierske-studijne-programy";;
11;;Študijné programy;B;JO;Aké sú bakalárske študíjne programy?;;;;;"Informatika, Informatika a riadenie, Informačné a sieťové technológie, Manažment, Počítačové inžinierstvo
Viac info tu: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy";;
12;;Študijné programy;D;JO;Aké sú doktorantské študíjne programy?;;;;;Aplikovaná informatika, Manažment, Inteligentné informačné systémy;;
48;;Študijné programy;;JO;O čom je program Informatika?;;;;;O bakalárskych študijných programoch sú informácie na nasledovnom linku: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy;;
49;;Študijné programy;;JO;O čom je program Manažment?;;;;;O bakalárskych študijných programoch sú informácie na nasledovnom linku: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy;;
50;;Študijné programy;;JO;O čom je program Počítačové Inžinierstvo?;;;;;O bakalárskych študijných programoch sú informácie na nasledovnom linku: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy;;
51;;Študijné programy;;JO;O čom je program Biomedicínske inžinierstvo?;;;;;https://youtu.be/DuV7m2yiCdU;;
52;;Študijné programy;;JO;O čom je program Inteligentné informačné systémy?;;;;;https://youtu.be/zim6Sf3Rqjc;;
56;;Študijné programy;;JO;O čom je program Informačné systémy?;;;;;"Informačné systémy - zameranie spracovanie dát:
https://youtu.be/iHhVYllG3j4
Informačné systémy - zameranie grafické spracovanie dát:
https://youtu.be/eN-xqn6fRVs
Informačné systémy - zameranie podniková informatika:
https://youtu.be/JW_oMOWygV8";;
57;;Študijné programy;;JO;O čom je program Informačný manažment?;;;;;https://youtu.be/XbBZVT16bG0;;
58;;Študijné programy;;JO;O čom je program Aplikované sieťové inžinierstvo.;;;;;https://youtu.be/_NctdDb3vK4;;
294;;Študijné programy;;JK;Kde nájdem nejaké presnejšie informácie k študijným programom na FRI?;;;;;https://www.fri.uniza.sk/ -> Uchádzači -> Ponúkané študijné programy;;
394;;Študijné programy;;AP;Aké študijné programy sú na FRI?;;;;;"Bakalárske štúdium:
Informatika, Informatika a riadenie, Informačné a sieťové technológie, Manažment, Počítačové inžinierstvo
Viac info tu: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy
Inžinierske štúdium:
Informačné systémy, Inteligentné informačné systémy, Biomedicínska informatika, Aplikované sieťové inžinierstvo, Informačný manažment, Počítačové inžinierstvo
Viac info tu:  https://www.fri.uniza.sk/stranka/ponukane-inzinierske-studijne-programy
Doktorandské štúdium:
Aplikovaná informatika, Manažment, Inteligentné informačné systémy";;
81;;Študijný referát;;JO, AP;Aké sú úradné hodiny študíjneho referátu?;Do ktorej sú na študijnom referáte?;;;;"Úradné hodiny počas letných prázdnin (1.7. až 31.8.)
Pondelok až štvrtok 7:30 - 11:00 Pondelok	7:30 - 13:00 - počas vyučovania ZS+LS do 14:00 
Utorok	7:30 - 13:00
Streda	7:30 - 13:00
Štvrtok	7:30 - 13:00
Piatok	7:30 - 10:00";;
82;;Študijný referát;;JO, AP;Aký je email na študíjny referát?;;;;; studref@fri.uniza.sk, renata.novakova@fri.uniza.sk alebo maria.sicova@fri.uniza.sk;;
